voter_registration,vote_choice,support_biden,education
registered,Trump,Not support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Trump,Not support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Trump,Not support Biden,College graduate
not_registered,NA,NA,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,College graduate
registered,Refused,Not support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Trump,Not support Biden,College graduate
registered,Trump,Not support Biden,Not college graduate
registered,Trump,Not support Biden,College graduate
registered,Trump,Not support Biden,College graduate
registered,Trump,Not support Biden,College graduate
registered,Biden,Support Biden,College graduate
registered,Undecided,Not support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Trump,Not support Biden,Not college graduate
registered,Trump,Not support Biden,College graduate
registered,Trump,Not support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Trump,Not support Biden,Not college graduate
not_registered,NA,NA,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Trump,Not support Biden,College graduate
registered,Trump,Not support Biden,College graduate
registered,Trump,Not support Biden,Not college graduate
registered,Refused,Not support Biden,College graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
registered,Trump,Not support Biden,College graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Undecided,Not support Biden,College graduate
registered,Trump,Not support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Trump,Not support Biden,Not college graduate
registered,Trump,Not support Biden,College graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,College graduate
registered,Undecided,Not support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Trump,Not support Biden,College graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
not_registered,NA,NA,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Undecided,Not support Biden,Not college graduate
registered,Undecided,Not support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
not_registered,NA,NA,Not college graduate
registered,Trump,Not support Biden,College graduate
registered,Biden,Support Biden,College graduate
not_registered,NA,NA,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Refused,Not support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
not_registered,NA,NA,Not college graduate
not_registered,NA,NA,Not college graduate
registered,Other,Not support Biden,College graduate
registered,Trump,Not support Biden,College graduate
registered,Biden,Support Biden,College graduate
registered,Trump,Not support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
not_registered,NA,NA,Not college graduate
registered,Biden,Support Biden,College graduate
not_registered,NA,NA,College graduate
not_registered,NA,NA,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
not_registered,NA,NA,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Trump,Not support Biden,College graduate
registered,Trump,Not support Biden,Not college graduate
not_registered,NA,NA,College graduate
registered,Biden,Support Biden,Not college graduate
not_registered,NA,NA,Not college graduate
registered,Trump,Not support Biden,College graduate
not_registered,NA,NA,Not college graduate
registered,Trump,Not support Biden,College graduate
registered,Trump,Not support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Trump,Not support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Trump,Not support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Undecided,Not support Biden,College graduate
not_registered,NA,NA,Not college graduate
not_registered,NA,NA,College graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Trump,Not support Biden,College graduate
registered,Trump,Not support Biden,Not college graduate
not_registered,NA,NA,Not college graduate
not_registered,NA,NA,Not college graduate
registered,Biden,Support Biden,College graduate
not_registered,NA,NA,College graduate
registered,Trump,Not support Biden,College graduate
registered,Trump,Not support Biden,Not college graduate
registered,Trump,Not support Biden,College graduate
registered,Trump,Not support Biden,College graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
not_registered,NA,NA,College graduate
registered,Biden,Support Biden,Not college graduate
registered,Refused,Not support Biden,Refused-Blanks
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,College graduate
registered,Trump,Not support Biden,College graduate
registered,Biden,Support Biden,College graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
not_registered,NA,NA,College graduate
registered,Trump,Not support Biden,College graduate
registered,Other,Not support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
not_registered,NA,NA,College graduate
registered,Trump,Not support Biden,Not college graduate
not_registered,NA,NA,College graduate
registered,Biden,Support Biden,Not college graduate
registered,Refused,Not support Biden,Not college graduate
registered,Trump,Not support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Undecided,Not support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Trump,Not support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Trump,Not support Biden,College graduate
registered,Refused,Not support Biden,College graduate
registered,Biden,Support Biden,College graduate
not_registered,NA,NA,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
not_registered,NA,NA,Not college graduate
not_registered,NA,NA,Not college graduate
registered,Trump,Not support Biden,College graduate
registered,Biden,Support Biden,College graduate
not_registered,NA,NA,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
not_registered,NA,NA,College graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
not_registered,NA,NA,College graduate
registered,Biden,Support Biden,Not college graduate
registered,Undecided,Not support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,College graduate
not_registered,NA,NA,Not college graduate
registered,Trump,Not support Biden,College graduate
registered,Trump,Not support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
not_registered,NA,NA,College graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
not_registered,NA,NA,College graduate
registered,Refused,Not support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
registered,Trump,Not support Biden,College graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,College graduate
registered,Trump,Not support Biden,Not college graduate
registered,Trump,Not support Biden,College graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
registered,Trump,Not support Biden,Other
registered,Biden,Support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Trump,Not support Biden,College graduate
registered,Trump,Not support Biden,College graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Trump,Not support Biden,College graduate
not_registered,NA,NA,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Trump,Not support Biden,College graduate
registered,Biden,Support Biden,College graduate
not_registered,NA,NA,College graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
not_registered,NA,NA,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Trump,Not support Biden,Not college graduate
not_registered,NA,NA,College graduate
not_registered,NA,NA,Not college graduate
not_registered,NA,NA,Not college graduate
registered,Undecided,Not support Biden,College graduate
not_registered,NA,NA,College graduate
registered,Trump,Not support Biden,College graduate
not_registered,NA,NA,College graduate
registered,Trump,Not support Biden,College graduate
registered,Refused,Not support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Other,Not support Biden,College graduate
registered,Biden,Support Biden,College graduate
registered,Trump,Not support Biden,College graduate
not_registered,NA,NA,Not college graduate
registered,Trump,Not support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
not_registered,NA,NA,College graduate
registered,Undecided,Not support Biden,College graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,College graduate
registered,Trump,Not support Biden,College graduate
registered,Trump,Not support Biden,College graduate
registered,Biden,Support Biden,College graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Undecided,Not support Biden,Not college graduate
not_registered,NA,NA,College graduate
registered,Biden,Support Biden,Not college graduate
registered,Trump,Not support Biden,College graduate
registered,Undecided,Not support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
not_registered,NA,NA,Not college graduate
registered,Trump,Not support Biden,College graduate
registered,Biden,Support Biden,College graduate
registered,Undecided,Not support Biden,College graduate
registered,Trump,Not support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,College graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
not_registered,NA,NA,Not college graduate
registered,Undecided,Not support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
not_registered,NA,NA,Not college graduate
registered,Trump,Not support Biden,Not college graduate
not_registered,NA,NA,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Refused,Not support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Other,Not support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
not_registered,NA,NA,College graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
not_registered,NA,NA,College graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
not_registered,NA,NA,College graduate
registered,Trump,Not support Biden,Not college graduate
not_registered,NA,NA,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,College graduate
registered,Trump,Not support Biden,College graduate
registered,Trump,Not support Biden,College graduate
registered,Undecided,Not support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Refused,Not support Biden,College graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Trump,Not support Biden,College graduate
not_registered,NA,NA,College graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Trump,Not support Biden,College graduate
registered,Trump,Not support Biden,College graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Trump,Not support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
not_registered,NA,NA,College graduate
registered,Trump,Not support Biden,College graduate
registered,Trump,Not support Biden,College graduate
registered,Biden,Support Biden,College graduate
not_registered,NA,NA,Not college graduate
not_registered,NA,NA,Not college graduate
registered,Trump,Not support Biden,College graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,College graduate
registered,Undecided,Not support Biden,College graduate
registered,Undecided,Not support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
registered,Trump,Not support Biden,College graduate
not_registered,NA,NA,College graduate
registered,Trump,Not support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Trump,Not support Biden,College graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
not_registered,NA,NA,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Trump,Not support Biden,College graduate
registered,Trump,Not support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
not_registered,NA,NA,College graduate
registered,Trump,Not support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,College graduate
registered,Trump,Not support Biden,Not college graduate
registered,Trump,Not support Biden,College graduate
registered,Undecided,Not support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Other,Not support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
not_registered,NA,NA,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,College graduate
registered,Trump,Not support Biden,College graduate
registered,Biden,Support Biden,College graduate
not_registered,NA,NA,College graduate
registered,Trump,Not support Biden,College graduate
registered,Biden,Support Biden,College graduate
registered,Trump,Not support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Trump,Not support Biden,Not college graduate
registered,Undecided,Not support Biden,College graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
registered,Trump,Not support Biden,College graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,College graduate
not_registered,NA,NA,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Trump,Not support Biden,College graduate
registered,Biden,Support Biden,College graduate
registered,Trump,Not support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
not_registered,NA,NA,College graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
not_registered,NA,NA,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,College graduate
registered,Trump,Not support Biden,College graduate
registered,Biden,Support Biden,College graduate
registered,Trump,Not support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
registered,Trump,Not support Biden,College graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Refused,Not support Biden,College graduate
registered,Trump,Not support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
not_registered,NA,NA,Not college graduate
not_registered,NA,NA,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Trump,Not support Biden,College graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
not_registered,NA,NA,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
not_registered,NA,NA,College graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
registered,Trump,Not support Biden,College graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
registered,Trump,Not support Biden,College graduate
registered,Trump,Not support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
not_registered,NA,NA,College graduate
registered,Other,Not support Biden,College graduate
not_registered,NA,NA,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
not_registered,NA,NA,Not college graduate
not_registered,NA,NA,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
not_registered,NA,NA,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Trump,Not support Biden,College graduate
registered,Biden,Support Biden,College graduate
not_registered,NA,NA,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Trump,Not support Biden,College graduate
registered,Trump,Not support Biden,College graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Undecided,Not support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
registered,Undecided,Not support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
not_registered,NA,NA,College graduate
registered,Biden,Support Biden,College graduate
not_registered,NA,NA,College graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
not_registered,NA,NA,College graduate
registered,Biden,Support Biden,Not college graduate
registered,Refused,Not support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Trump,Not support Biden,College graduate
not_registered,NA,NA,Not college graduate
not_registered,NA,NA,Not college graduate
registered,Undecided,Not support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,College graduate
not_registered,NA,NA,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
not_registered,NA,NA,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,College graduate
registered,Trump,Not support Biden,College graduate
registered,Trump,Not support Biden,Other
registered,Trump,Not support Biden,College graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Biden,Support Biden,Not college graduate
registered,Trump,Not support Biden,Not college graduate
registered,Biden,Support Biden,College graduate
registered,Biden,Support Biden,College graduate
